iso,name_en,bbox
TGO,Togo,11.2/-0.2/5.8/1.9
THA,Thailand,20.6/97.2/5.5/105.7
TJK,Tajikistan,41.1/67.2/36.6/75.3
TKL,Tokelau,-8.2/-172.8/-9.7/-170.9
TKM,Turkmenistan,42.9/52.2/35.0/66.8
TLS,East Timor,-8.0/123.9/-9.7/127.6
TON,Tonga,-15.3/-179.5/-24.3/-173.4
TTO,Trinidad and Tobago,11.7/-62.2/9.8/-60.2
TUN,Tunisia,37.9/7.4/30.1/12.0
TUR,Turkey,42.4/25.5/35.7/44.9
TUV,Tuvalu,-5.3/-180.1/-11.1/180.1
TWN,Taiwan,26.5/114.2/10.2/122.4
TZA,Tanzania,-0.9/29.2/-11.9/40.8
UGA,Uganda,4.3/29.5/-1.6/35.1
UKR,Ukraine,52.5/22.0/44.1/40.3
URY,Uruguay,-30.0/-58.6/-35.9/-53.0
USA,United States,71.7/-180.1/-14.9/180.1
UZB,Uzbekistan,45.7/55.9/37.1/73.2
VAT,Vatican City,42.0/12.3/41.8/12.6
VCT,Saint Vincent and the Grenadines,13.7/-61.8/12.3/-60.8
VEN,Venezuela,16.0/-73.5/0.5/-59.7
VGB,British Virgin Islands,19.1/-65.1/18.0/-64.0
VNM,Vietnam,23.5/102.0/7.8/114.8
VUT,Vanuatu,-12.8/166.2/-20.6/170.5
WSM,Samoa,-13.1/-173.1/-14.4/-171.1
XKX,Kosovo,43.4/19.9/41.8/21.9
YEM,Yemen,19.1/41.5/11.8/54.8
ZAF,South Africa,-22.0/16.2/-47.3/38.4
ZMB,Zambia,-8.2/21.9/-18.2/33.8
ZWE,Zimbabwe,-15.5/25.1/-22.5/33.2
